Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA,FAMILIA
9436,369,369,9,EQ-10,FLAVIA,ATACADO,ENTREGA TOTAL,7899866830523,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA SEMANAL ANOTACOES A5 PRETO,560,20/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,1120,DOCE FLORADA
9437,478,478,8,EQ-10,FLAVIA,LOJA,ENTREGA TOTAL,7899866830523,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA SEMANAL ANOTACOES A5 PRETO,30,20/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,60,DOCE FLORADA
9438,478,478,8,EQ-10,FLAVIA,SITE,ENTREGA TOTAL,7899866830523,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA SEMANAL ANOTACOES A5 PRETO,130,20/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,260,DOCE FLORADA
9439,289,289,9,EQ-10,FLAVIA,ATACADO,ENTREGA TOTAL,7899866830448,AGENDA PLANNER ARGOLADO 2026 DOCE FLORADA SEMANAL NOTAS A5 LATA,440,24/06/2025,2025-26,6,2025,2025-06,Argolados,660,DOCE FLORADA
9440,390,390,0,EQ-10,FLAVIA,LOJA,ENTREGA TOTAL,7899866830448,AGENDA PLANNER ARGOLADO 2026 DOCE FLORADA SEMANAL NOTAS A5 LATA,40,24/06/2025,2025-26,6,2025,2025-06,Argolados,60,DOCE FLORADA
9441,390,390,0,EQ-10,FLAVIA,SITE,ENTREGA TOTAL,7899866830448,AGENDA PLANNER ARGOLADO 2026 DOCE FLORADA SEMANAL NOTAS A5 LATA,50,24/06/2025,2025-26,6,2025,2025-06,Argolados,75,DOCE FLORADA
9442,538,538,8,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,838,CADERNETA CICEROS CLÁSSICA PAUTADO 14X21 CARAMELO,300,23/06/2025,2025-26,6,2025,2025-06,Brochura,300,CLÁSSICA
9443,507,507,7,EQ-2,REGIANE,ATACADO,ENTREGA TOTAL,8842,CADERNETA CICEROS CLÁSSICA PAUTADO 14X21 CAFÉ,300,23/06/2025,2025-26,6,2025,2025-06,Brochura,300,CLÁSSICA
9444,329,329,9,EQ-5,ELIANE,ATACADO,ENTREGA TOTAL,7899866830462,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL 14X21 PRETO,640,23/06/2025,2025-26,6,2025,2025-06,Brochura,640,DOCE FLORADA
9445,420,420,0,EQ-5,ELIANE,LOJA,ENTREGA TOTAL,7899866830462,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL 14X21 PRETO,50,23/06/2025,2025-26,6,2025,2025-06,Brochura,50,DOCE FLORADA
9446,420,420,0,EQ-5,ELIANE,SITE,ENTREGA TOTAL,7899866830462,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL 14X21 PRETO,130,23/06/2025,2025-26,6,2025,2025-06,Brochura,130,DOCE FLORADA
9447,483,483,3,EQ-9,MARGO,ATACADO,ENTREGA TOTAL,1407,CADERNETA CICEROS CLASSICA SEM PAUTA 9X13 PRETO/PRETO,540,24/06/2025,2025-26,6,2025,2025-06,Brochura,540,CLÁSSICA
9448,484,484,4,EQ-9,MARGO,ATACADO,ENTREGA TOTAL,3433,CADERNETA CICEROS CLÁSSICA SEM PAUTA 9X13 VERMELHO QUENTE,290,24/06/2025,2025-26,6,2025,2025-06,Brochura,290,CLÁSSICA
9449,504,504,4,EQ-3,RENATA S.,ATACADO,ENTREGA TOTAL,1118,BLOCO WIRE-O CLASSICA PAUTADO 12X20 CARAMELO,200,24/06/2025,2025-26,6,2025,2025-06,Wire-o Simples,200,CLÁSSICA
9450,511,511,1,EQ-3,RENATA S.,ATACADO,ENTREGA TOTAL,7585,CADERNO ESPIRAL MELISSA PAUTADO 17X24 CASINHA DAS ABELHAS 160 FLS,350,24/06/2025,2025-26,6,2025,2025-06,Wire-o Simples,350,Melissa
9451,505,505,5,EQ-3,RENATA S.,ATACADO,ENTREGA TOTAL,8650,BLOCO WIRE-O MOCHA PISTACHE PAUTADO 12X20 CHOCOLATE,150,24/06/2025,2025-26,6,2025,2025-06,Wire-o Simples,150,MOCHA PISTACHE
9452,506,506,6,EQ-3,RENATA S.,ATACADO,ENTREGA TOTAL,8407,BLOCO WIRE-O LAGOA PAUTADO 12X20 CISNE FLORAL VERDE,140,25/06/2025,2025-26,6,2025,2025-06,Wire-o Simples,140,LAGOA
9453,273,273,3,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,7899866830035,AGENDA PLANNER ARGOLADO 2026 BOSSA NOVA SEMANAL NOTAS A5 BOEMIA CARAMELO,640,25/06/2025,2025-26,6,2025,2025-06,Argolados,960,BOSSA NOVA
9454,382,382,2,EQ-4,ROSE,LOJA,ENTREGA TOTAL,7899866830035,AGENDA PLANNER ARGOLADO 2026 BOSSA NOVA SEMANAL NOTAS A5 BOEMIA CARAMELO,30,25/06/2025,2025-26,6,2025,2025-06,Argolados,45,BOSSA NOVA
9455,382,382,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,7899866830035,AGENDA PLANNER ARGOLADO 2026 BOSSA NOVA SEMANAL NOTAS A5 BOEMIA CARAMELO,90,25/06/2025,2025-26,6,2025,2025-06,Argolados,135,BOSSA NOVA
9456,493,493,3,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,7899866829909,CADERNO ORGANIZADOR PRAIA PAUTADO & PONTADO 17X24 SOL,190,25/06/2025,2025-26,6,2025,2025-06,Caderno organizador,380,PRAIA
9457,494,494,4,EQ-4,ROSE,LOJA,ENTREGA TOTAL,7899866829909,CADERNO ORGANIZADOR PRAIA PAUTADO & PONTADO 17X24 SOL,30,25/06/2025,2025-26,6,2025,2025-06,Caderno organizador,60,PRAIA
