Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA
7658,15908-1,15908,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,3358,CADERNO CRIATIVO ARGOLADO OFFICE DUO CLÁSSICA PAUTADO & PONTADO A5 VERDE OLIVA,"500,0",26/11/2024,2024-48,11,2024,11-2024,Argolados,750
7659,15841-1,15841,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,838,CADERNETA CICEROS CLÁSSICA PAUTADO 14X21 CARAMELO,"250,0",27/11/2024,2024-48,11,2024,11-2024,Brochura,250
7660,15882-1,15882,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,3440,CADERNETA CICEROS CLÁSSICA SEM PAUTA 14X21 VERMELHO QUENTE,"200,0",27/11/2024,2024-48,11,2024,11-2024,Brochura,200
7661,15709-1,15709,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,6595,AGENDA PLANNER WIRE-O 2025 MELISSA DIÁRIA A5 COLMEIA,"60,0",28/11/2024,2024-48,11,2024,11-2024,Wire-o com fita,120
7662,15705-1,15705,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,6366,AGENDA PLANNER WIRE-O 2025 ASTRAL DIÁRIA A5 ECLIPSE PRETO,"105,0",28/11/2024,2024-48,11,2024,11-2024,Wire-o com fita,210
7663,15755-1,15755,1,EQ-2,DEYVSON,SITE,ENTREGA TOTAL,5901,AGENDA PLANNER ARGOLADO 2025 MELISSA SEMANAL NOTAS A5 CASINHA DAS ABELHAS,"50,0",28/11/2024,2024-48,11,2024,11-2024,Argolados,75
7664,15754-1,15754,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,5888,AGENDA PLANNER ARGOLADO 2025 ATELIÊ SEMANAL NOTAS A5 OFF WHITE,"70,0",29/11/2024,2024-48,11,2024,11-2024,Argolados,105
7665,15902-1,15902,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,6977,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ECLIPSE PRETO,"150,0",29/11/2024,2024-48,11,2024,11-2024,Argolados,225
7666,15903-1,15903,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,6984,CADERNO CRIATIVO ARGOLADO ATELIÊ PAUTADO 17X24 OFF WHITE,"100,0",30/12/2024,2024-53,12,2024,12-2024,Argolados,150
7667,15133-1,15133,1,EQ-3,ROSE,PERSONALIZADO,ENTREGA TOTAL,P149,REFIL ORGANIZADOR$A5$NENHUM,"500,0",25/11/2024,2024-48,11,2024,11-2024,Refil,150
7668,15746-1,15746,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,6267,AGENDA PLANNER CICEROS 2025 MELISSA SEMANAL 14X21 CASA DAS ABELHAS ROSÊ,"145,0",26/11/2024,2024-48,11,2024,11-2024,Brochura,145
7669,15734-1,15734,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,6236,AGENDA PLANNER CICEROS 2025 BOSSA NOVA SEMANAL ANOTAÇÕES 14X21 BOEMIA,"60,0",25/11/2024,2024-48,11,2024,11-2024,Brochura,60
7670,15730-1,15730,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,6076,AGENDA PLANNER CICEROS 2025 CLÁSSICA SEMANAL ANOTAÇÕES 14X21 VERDE OLIVA,"148,0",27/11/2024,2024-48,11,2024,11-2024,Brochura,148
7671,15729-1,15729,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,6069,AGENDA PLANNER CICEROS 2025 CLÁSSICA SEMANAL ANOTAÇÕES 14X21 PRETA,"240,0",27/11/2024,2024-48,11,2024,11-2024,Brochura,240
7672,15744-1,15744,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,6212,AGENDA PLANNER CICEROS 2025 BOSSA NOVA SEMANAL 14X21 PONTOS OFF WHITE,"160,0",27/11/2024,2024-48,11,2024,11-2024,Brochura,160
7673,15137-1,15137,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,8842,CADERNETA CICEROS CLÁSSICA PAUTADO 14X21 CAFÉ,"250,0",28/11/2024,2024-48,11,2024,11-2024,Brochura,250
7674,15845-1,15845,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,1919,CADERNETA CICEROS CLASSICA PAUTADO 14X21 AZUL MARINHO/AMARELO,"125,0",28/11/2024,2024-48,11,2024,11-2024,Brochura,125
7675,15487-1,15487,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,8835,CADERNO CRIATIVO ARGOLADO OFFICE DUO CLÁSSICA PAUTADO & PONTADO A5 CAFÉ,"300,0",30/11/2024,2024-48,11,2024,11-2024,Argolados,450
7676,15464-1,15464,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,7028,CADERNO CRIATIVO ARGOLADO OFFICE DUO ATELIÊ PAUTADO & PONTADO A5 PRETO,"100,0",02/12/2024,2024-49,12,2024,12-2024,Argolados,150
7677,14988-1,14988,1,EQ-4,SUELLEN,ATACADO,ENTREGA TOTAL,7189,CADERNO ORGANIZADOR BOSSA NOVA PAUTADO & PONTADO 17X24 PONTOS AZUL,"350,0",28/11/2024,2024-48,11,2024,11-2024,Caderno organizador,700
7678,14994-1,14994,1,EQ-4,SUELLEN,ATACADO,ENTREGA TOTAL,7240,CADERNO ORGANIZADOR PÓLEN PAUTADO & PONTADO A5 AROMAS AMARELO,"350,0",28/11/2024,2024-48,11,2024,11-2024,Caderno organizador,700
7679,15687-1,15687,1,EQ-4,SUELLEN,ATACADO,ENTREGA TOTAL,7202,CADERNO ORGANIZADOR ATELIÊ PAUTADO & PONTADO 17X24 OFF WHITE,"150,0",28/11/2024,2024-48,11,2024,11-2024,Caderno organizador,300
7680,15693-1,15693,1,EQ-4,SUELLEN,ATACADO,ENTREGA TOTAL,5567,CADERNO ORGANIZADOR BOSSA NOVA PAUTADO A5 BOEMIA,"150,0",28/11/2024,2024-48,11,2024,11-2024,Caderno organizador,300
7681,16001-1,16001,1,EQ-5,CAIO,PERSONALIZADO,ENTREGA TOTAL,P31,CADERNO WIRE-O$A5$POLICROMIA,"50,0",25/11/2024,2024-48,11,2024,11-2024,Wire-o sem fita,60
7682,15996-1,15996,1,EQ-5,CAIO,PERSONALIZADO,ENTREGA TOTAL,P47,CICEROS$14x21$POLICROMIA,"700,0",26/11/2024,2024-48,11,2024,11-2024,Brochura,700
7683,15763-1,15763,1,EQ-5,CAIO,ATACADO,ENTREGA TOTAL,6564,AGENDA PLANNER WIRE-O 2025 MELISSA SEMANAL ANOTAÇÕES A5 CASA DAS ABELHAS ROSÊ,"163,0",27/11/2024,2024-48,11,2024,11-2024,Wire-o com fita,326
7684,15761-1,15761,1,EQ-5,CAIO,ATACADO,ENTREGA TOTAL,6496,AGENDA PLANNER WIRE-O 2025 ATELIÊ SEMANAL ANOTAÇÕES A5 PRETO,"100,0",27/11/2024,2024-48,11,2024,11-2024,Wire-o com fita,200
7685,15466-1,15466,1,EQ-5,CAIO,ATACADO,ENTREGA TOTAL,7462,PLANNER PERMANENTE WIRE-O ATELIÊ SEMANAL NOTAS A5 OFF WHITE,"400,0",29/11/2024,2024-48,11,2024,11-2024,Wire-o sem fita,480
7686,15810-1,15810,1,EQ-6,ELIANE,ATACADO,ENTREGA TOTAL,6687,AGENDA PLANNER WIRE-O 2025 PÓLEN SEMANAL NOTAS C/ DIVISÓRIAS A5 AROMAS OFF WHITE,"70,0",25/11/2024,2024-48,11,2024,11-2024,Wire-o com fita,140
7688,15805-1,15805,1,EQ-6,ELIANE,,AGUARDANDO PCP,6380,AGENDA PLANNER WIRE-O 2025 ASTRAL SEMANAL NOTAS C/ DIVISÓRIAS A5 ECLIPSE PRETO,"150,00",,1899-53,12,1899,12-1899,Wire-o com fita,300
7689,15823-1,15823,1,EQ-6,ELIANE,ATACADO,ENTREGA TOTAL,6328,AGENDA PLANNER CICEROS 2025 PÓLEN SEMANAL 9X13 AROMAS AMARELO,"170,0",26/11/2024,2024-48,11,2024,11-2024,Brochura,170
7690,15817-1,15817,1,EQ-6,ELIANE,ATACADO,ENTREGA TOTAL,6038,AGENDA PLANNER CICEROS 2025 CLÁSSICA SEMANAL 9X13 VERDE OLIVA,"143,0",27/11/2024,2024-48,11,2024,11-2024,Brochura,143
7691,15886-1,15886,1,EQ-6,ELIANE,ATACADO,ENTREGA TOTAL,6823,CADERNETA CICEROS KRAFT SEM PAUTA 14X21 FLORES MINI,"200,0",28/11/2024,2024-48,11,2024,11-2024,Brochura,200
7692,15460-1,15460,1,EQ-6,ELIANE,ATACADO,ENTREGA TOTAL,6762,CADERNETA CICEROS ASTRAL PONTADO 14X21 MARÉ AZUL,"200,0",28/11/2024,2024-48,11,2024,11-2024,Brochura,200
7693,15994-1,15994,1,EQ-7,CASSIA,PERSONALIZADO,ENTREGA TOTAL,P156,REVISTA$14X21$POLICROMIA,"360,0",25/11/2024,2024-48,11,2024,11-2024,Revistas(Individuais),216
